manifest,source_type,plant_name,asset_path,image_url,source_page_url,license_label,license_url,creator,rights_holder,attribution_text,publisher,occurrence_key,dataset_key
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4607647505__8eb78eb13978c3ff__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/364056095/original.jpeg,https://www.inaturalist.org/photos/364056095,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Ellyne Geurts,Ellyne Geurts,Photo: Ellyne Geurts | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/364056095 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4607647505,,4607647505,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4408324911__4f15ce61463781e1__cc-by-sa-4.0.jpg,https://observation.org/photos/66929950.jpg,,CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,Björn Sothmann,Björn Sothmann,Photo: Björn Sothmann | License: CC BY-SA 4.0 | Source: https://observation.org/photos/66929950.jpg | GBIF dataset: 8a863029-f435-446a-821e-275f4f641165 | Occurrence: 4408324911,,4408324911,8a863029-f435-446a-821e-275f4f641165
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4597066213__6424e3579273a389__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/357755624/original.jpg,https://www.inaturalist.org/photos/357755624,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,arthur_haendler,arthur_haendler,Photo: arthur_haendler | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/357755624 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4597066213,,4597066213,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4138548670__1ea90ab9a5a8b12e__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/292279077/original.jpeg,https://www.inaturalist.org/photos/292279077,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,rudolf_may,rudolf_may,Photo: rudolf_may | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/292279077 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4138548670,,4138548670,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4908276364__3084dd32046349e5__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/401229594/original.jpeg,https://www.inaturalist.org/photos/401229594,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Ellyne Geurts,Ellyne Geurts,Photo: Ellyne Geurts | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/401229594 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4908276364,,4908276364,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4416897433__7f48de39c3a001cd__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/254219626/original.jpg,https://www.inaturalist.org/photos/254219626,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,cherry24d,cherry24d,Photo: cherry24d | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/254219626 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4416897433,,4416897433,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4908653384__cfdf4f59eec35330__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/406494726/original.jpeg,https://www.inaturalist.org/photos/406494726,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Katrin Simon,Katrin Simon,Photo: Katrin Simon | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/406494726 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4908653384,,4908653384,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4133962435__137ed0d961092b9c__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/288919313/original.jpg,https://www.inaturalist.org/photos/288919313,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Stephan Mende,Stephan Mende,Photo: Stephan Mende | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/288919313 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4133962435,,4133962435,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4535582750__609b09996962f289__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/291609215/original.jpeg,https://www.inaturalist.org/photos/291609215,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,ahabo,ahabo,Photo: ahabo | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/291609215 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4535582750,,4535582750,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4901153543__91ec7f11f6e9a478__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/395699076/original.jpeg,https://www.inaturalist.org/photos/395699076,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,bernhard_hiller,bernhard_hiller,Photo: bernhard_hiller | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/395699076 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4901153543,,4901153543,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Veronica beccabunga,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_veronica_beccabunga/veronica_beccabunga__4054777057__1ff4a8a7a36c11c5__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/259124269/original.jpeg,https://www.inaturalist.org/photos/259124269,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Manuel R Popp,Manuel R Popp,Photo: Manuel R Popp | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/259124269 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4054777057,,4054777057,50c9509d-22c7-4a22-a47d-8c48425ef4a7
