edible_plants,e_plants_gbif_code,lookalikes,lookalikes_gbif_code
Silene flos-cuculi,5384738,,
Silene vulgaris,9172281,,
Sinapis arvensis,3047598,,
Sisymbrium officinale,3046890,,
Solidago canadensis,5389029,,
Sonchus asper,3105782,,
Sorbus aria,5015,,
Sorbus aucuparia,3012167,,
Sorbus torminalis,3012567,,
Sparganium erectum,7679536,,
Stachys officinalis,7777194,,
Stachys palustris,2927245,,
Stachys sylvatica,2927282,,
Stellaria aquatica,5384501,,
Stellaria media,5384604,,
Symphytum officinale,7558421,Digitalis purpurea,5414995
Taraxacum officinale,5394163,,
Thlaspi arvense,3052680,,
Thymus pulegioides,5341443,,
Tilia platyphyllos,3152048,,
Tragopogon pratensis,5386897,,
Trifolium pratense,8324121,,
Tussilago farfara,3149879,,
Typha latifolia,5289423,,
Ulmus glabra,5361866,,
Urtica dioica,7960979,,
Vaccinium myrtillus,2882833,,
Vaccinium vitis-idaea,2882835,,
Valeriana officinalis,2888763,,
Valerianella locusta,2888778,,
Verbascum densiflorum,3171939,,
Verbena officinalis,2925529,,
Veronica beccabunga,3172062,,
Veronica persica,3172077,,
Vicia cracca,2975287,,
Viola odorata,5331181,,
Viola tricolor,5331347,,
Vitis vinifera,5372392,,
